time,ax,ay,az,aMagnitude,Activity
185,-0.043459326,-0.01550889,0.040358543,0.061302942,NO_ACTIVITY
186,-0.032227159,-0.023015976,0.018735886,0.043810482,NO_ACTIVITY
187,-0.044834048,0.024157524,0.009166718,0.05174656,NO_ACTIVITY
188,-0.024456382,-0.006378889,0.00679493,0.026172044,NO_ACTIVITY
189,-0.025733501,0.01794982,0.012757301,0.033869718,NO_ACTIVITY
190,-0.015502453,-0.011481047,0.010347366,0.021890831,NO_ACTIVITY
191,-0.005607605,-0.049136639,-0.019386292,0.053119514,NO_ACTIVITY
192,-0.016163051,-0.018831491,0.01170063,0.027436728,NO_ACTIVITY
193,-0.003666639,0.01956296,0.006288528,0.02087341,NO_ACTIVITY
194,0.046689421,-0.001065969,0.007398605,0.047284011,NO_ACTIVITY
195,0.04949829,0.000800848,-0.001133919,0.049517753,NO_ACTIVITY
196,0.020964384,0.019527197,0.026579857,0.039080758,NO_ACTIVITY
197,0.049420416,-0.008980989,0.040361404,0.064436625,NO_ACTIVITY
198,0.034086764,-0.003211737,-0.001573563,0.03427388,NO_ACTIVITY
199,0.037747622,-0.02375412,0.020956039,0.049277751,NO_ACTIVITY
200,0.031932026,-0.024117947,0.027813911,0.04873339,NO_ACTIVITY
201,0.027506828,-0.008932114,0.008501053,0.030144256,NO_ACTIVITY
202,0.01017186,0.003790855,0.015482903,0.018909194,NO_ACTIVITY
203,-0.030622274,0.005716801,-0.026298523,0.040767852,NO_ACTIVITY
204,0.009811223,0.02298665,0.018949509,0.031364471,NO_ACTIVITY
205,-0.022370309,-0.003542185,0.017558098,0.028657714,NO_ACTIVITY
206,-0.049911976,0.004205942,0.015067101,0.052305954,NO_ACTIVITY
207,-0.040685922,0.025633812,-0.008818626,0.04888972,NO_ACTIVITY
208,0.026992887,0.01074934,0.01326561,0.031939641,NO_ACTIVITY
209,-0.03854388,0.000530958,-0.017074585,0.042159863,NO_ACTIVITY
210,-0.049949765,0.012891769,-0.025177002,0.057402597,NO_ACTIVITY
211,-0.002459764,-0.001023769,-0.003520012,0.004414638,NO_ACTIVITY
212,-0.013477206,0.022024632,0.023898125,0.035182948,NO_ACTIVITY
213,-0.022352606,-0.025256634,-0.013049126,0.036163742,NO_ACTIVITY
214,-0.038335502,-0.00198245,-0.015223503,0.041295228,NO_ACTIVITY
215,0.007504344,-0.008737087,-0.005530357,0.012776413,NO_ACTIVITY
216,0.016060233,-0.013029099,0.00409317,0.021081806,NO_ACTIVITY
217,-0.00425452,-0.013910294,-0.008962631,0.017085841,NO_ACTIVITY
218,0.012236744,-0.011196136,0.001861572,0.016690022,NO_ACTIVITY
219,0.009438396,-0.025415421,0.035104752,0.04435505,NO_ACTIVITY
220,0.006392688,-0.012393236,-0.016293526,0.021446159,NO_ACTIVITY
221,-0.029456884,0.017445087,0.003306389,0.03439435,NO_ACTIVITY
222,0.044233382,-0.010991096,0.029500008,0.054292234,NO_ACTIVITY
223,-0.036610991,0.031731606,0.016975403,0.051336378,NO_ACTIVITY
224,-0.012057275,0.04975605,-0.019192696,0.054675424,NO_ACTIVITY
225,-0.018408597,0.013845205,0.034115791,0.041163738,NO_ACTIVITY
226,-0.031389087,0.034927368,0.004098892,0.047138061,NO_ACTIVITY
227,-0.0133591,0.016819954,0.032572746,0.039017434,NO_ACTIVITY
228,-0.001371682,0.052206755,0.026337624,0.058490146,NO_ACTIVITY
229,0.031988829,0.023235798,0.039173126,0.055657177,NO_ACTIVITY
230,0.005600214,0.043356895,0.046001434,0.063461128,NO_ACTIVITY
231,-0.029935688,0.011027575,-0.030382156,0.044054832,NO_ACTIVITY
232,0.010923237,0.006334543,-0.074052811,0.07512165,NO_ACTIVITY
233,0.021749675,-0.011416197,-0.008091927,0.025862274,NO_ACTIVITY
234,0.033621013,0.039950371,-0.024616241,0.057726632,NO_ACTIVITY
235,0.011053354,0.003046751,-0.044558525,0.046010015,NO_ACTIVITY
236,-0.016006559,-0.008714914,0.045193672,0.048730152,NO_ACTIVITY
237,0.015951902,-0.021800518,-0.057235718,0.063290229,NO_ACTIVITY
238,0.03647989,0.019081593,0.007454872,0.041838555,NO_ACTIVITY
239,0.003163904,-0.003627777,0.020450592,0.021009469,NO_ACTIVITY
240,-0.010855883,-0.013006449,0.01078701,0.02008426,NO_ACTIVITY
241,0.033231467,-0.003170729,-0.004694939,0.033710924,NO_ACTIVITY
242,-0.01911211,0.024055243,0.019062996,0.036156953,NO_ACTIVITY
243,0.003623575,0.013025284,-0.013196945,0.018893059,NO_ACTIVITY
244,0.016518146,-0.001428127,0.030845642,0.035019171,NO_ACTIVITY
245,0.004400492,-0.033575296,0.043638229,0.055235495,NO_ACTIVITY
246,-0.005336046,-0.01439929,0.008812904,0.017705373,NO_ACTIVITY
247,-0.013910472,-0.022607803,0.006374359,0.027299203,NO_ACTIVITY
248,0.009443671,0.009483576,0.015807152,0.020712005,NO_ACTIVITY
249,-0.001742244,-0.002521515,-0.003299713,0.004503505,NO_ACTIVITY
